Player,Tm,Opp,Res,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Data
Davion Mitchell,MIA,ORL,L,34.766666666666666,7,15,0.467,2,6,0.333,0,0,0.0,2,4,6,12,2,1,1,4,16,19.399999999999995,2025-10-22
Kyshawn George,WAS,MIL,L,32.083333333333336,7,15,0.467,3,6,0.5,4,8,0.5,1,8,9,4,1,2,2,4,21,16.4,2025-10-22
Scottie Barnes,TOR,ATL,W,31.883333333333333,9,14,0.643,0,0,0.0,4,4,1.0,0,6,6,9,1,2,1,4,22,23.7,2025-10-22
Cade Cunningham,DET,CHI,L,34.265,8,24,0.333,1,6,0.167,6,10,0.6,2,5,7,10,1,0,3,6,23,13.300000000000004,2025-10-22
Jerami Grant,POR,MIN,L,27.766666666666666,10,14,0.714,4,7,0.571,5,6,0.833,0,3,3,1,0,1,1,3,29,22.900000000000002,2025-10-22
RJ Barrett,TOR,ATL,W,29.966666666666665,9,12,0.75,2,4,0.5,5,5,1.0,2,6,8,5,2,0,4,5,25,22.900000000000002,2025-10-22
Ja Morant,MEM,NOP,W,28.68166666666667,13,20,0.65,2,6,0.333,7,8,0.875,0,3,3,3,1,0,2,2,35,27.000000000000004,2025-10-22
Evan Mobley,CLE,NYK,L,35.935,8,18,0.444,4,8,0.5,2,5,0.4,0,8,8,3,3,1,3,3,22,15.399999999999999,2025-10-22
Donovan Mitchell,CLE,NYK,L,35.88166666666667,12,25,0.48,2,9,0.222,5,5,1.0,0,2,2,5,2,1,3,2,31,21.299999999999997,2025-10-22
Norman Powell,MIA,ORL,L,36.416666666666664,9,19,0.474,4,8,0.5,6,7,0.857,2,7,9,4,1,1,3,4,28,21.300000000000004,2025-10-22
Walker Kessler,UTA,LAC,W,28.666666666666668,7,7,1.0,2,2,1.0,6,8,0.75,2,7,9,4,2,4,1,5,22,27.200000000000003,2025-10-22
Nikola Vučević,CHI,DET,W,32.583333333333336,11,18,0.611,4,6,0.667,2,2,1.0,4,10,14,2,1,0,1,2,28,26.199999999999996,2025-10-22
VJ Edgecombe,PHI,BOS,W,42.20666666666666,13,26,0.5,5,13,0.385,3,6,0.5,1,6,7,3,1,0,2,1,34,23.000000000000007,2025-10-22
Zion Williamson,NOP,MEM,L,33.46666666666667,10,21,0.476,0,0,0.0,7,12,0.583,5,4,9,5,5,0,3,2,27,23.7,2025-10-22
DeMar DeRozan,SAC,PHX,L,37.416666666666664,12,17,0.706,1,2,0.5,4,9,0.444,2,4,6,9,2,1,1,2,29,29.699999999999996,2025-10-22
OG Anunoby,NYK,CLE,W,37.5,9,17,0.529,4,9,0.444,2,4,0.5,2,12,14,2,3,1,4,0,24,20.999999999999996,2025-10-22
Anthony Edwards,MIN,POR,W,39.25,14,28,0.5,5,10,0.5,8,8,1.0,1,6,7,1,0,1,4,4,41,25.3,2025-10-22
Giannis Antetokounmpo,MIL,WAS,W,26.75,16,26,0.615,1,3,0.333,4,7,0.571,2,12,14,5,0,0,2,4,37,28.9,2025-10-22
Tyrese Maxey,PHI,BOS,W,41.4,13,24,0.542,7,9,0.778,7,8,0.875,0,2,2,6,2,1,1,5,40,32.500000000000014,2025-10-22
Victor Wembanyama,SAS,DAL,W,29.678333333333335,15,21,0.714,1,2,0.5,9,11,0.818,1,14,15,1,1,3,0,4,40,37.6,2025-10-22
Anthony Davis,DAL,SAS,L,32.483333333333334,7,22,0.318,2,4,0.5,6,6,1.0,4,9,13,1,2,1,0,4,22,16.7,2025-10-22
Tre Jones,CHI,DET,W,31.633333333333333,5,8,0.625,1,1,1.0,1,2,0.5,0,1,1,8,3,0,2,3,12,13.7,2025-10-22
Miles Bridges,CHA,BKN,W,30.848333333333333,6,11,0.545,3,6,0.5,3,4,0.75,2,9,11,4,1,0,1,1,18,18.8,2025-10-22
Mikal Bridges,NYK,CLE,W,33.2,6,11,0.545,1,3,0.333,3,3,1.0,1,4,5,6,3,2,0,3,16,19.999999999999996,2025-10-22
Gradey Dick,TOR,ATL,W,23.966666666666665,6,10,0.6,2,4,0.5,7,8,0.875,1,4,5,0,1,0,0,1,21,18.5,2025-10-22
Dennis Schröder,SAC,PHX,L,29.733333333333334,6,13,0.462,2,4,0.5,0,0,0.0,0,1,1,7,2,1,4,3,14,9.999999999999996,2025-10-22
Deni Avdija,POR,MIN,L,32.983333333333334,6,16,0.375,0,6,0.0,8,10,0.8,0,7,7,1,0,1,2,2,20,11.099999999999996,2025-10-22
Bam Adebayo,MIA,ORL,L,34.2,4,13,0.308,1,5,0.2,6,7,0.857,3,9,12,2,0,0,4,3,15,8.100000000000001,2025-10-22
James Harden,LAC,UTA,L,29.183333333333334,5,12,0.417,2,9,0.222,3,4,0.75,0,2,2,11,0,0,2,1,15,14.100000000000001,2025-10-22
Tre Johnson,WAS,MIL,L,26.233333333333334,5,11,0.455,4,8,0.5,2,2,1.0,2,3,5,2,1,1,4,1,16,11.3,2025-10-22
Cole Anthony,MIL,WAS,W,11.95,4,5,0.8,1,2,0.5,0,0,0.0,0,2,2,5,0,1,1,5,9,8.899999999999999,2025-10-22
Trae Young,ATL,TOR,L,34.3,5,14,0.357,1,7,0.143,11,13,0.846,0,1,1,5,1,0,2,4,22,14.600000000000001,2025-10-22
Ivica Zubac,LAC,UTA,L,27.183333333333334,9,13,0.692,0,0,0.0,1,1,1.0,3,4,7,3,0,1,2,0,19,17.599999999999998,2025-10-22
Ausar Thompson,DET,CHI,L,33.03333333333333,5,8,0.625,0,0,0.0,1,3,0.333,0,9,9,7,1,1,1,3,11,13.7,2025-10-22
Gary Trent Jr.,MIL,WAS,W,24.35,6,12,0.5,5,11,0.455,0,0,0.0,0,4,4,2,2,0,1,1,17,14.2,2025-10-22
Brandon Ingram,TOR,ATL,W,26.865,7,16,0.438,0,2,0.0,2,3,0.667,2,7,9,3,2,0,5,3,16,8.600000000000001,2025-10-22
Keyonte George,UTA,LAC,W,29.916666666666668,6,12,0.5,1,7,0.143,3,4,0.75,0,2,2,9,2,0,3,1,16,15.100000000000001,2025-10-22
Myles Turner,MIL,WAS,W,29.05,4,12,0.333,2,8,0.25,1,2,0.5,1,7,8,5,0,3,1,3,11,10.0,2025-10-22
Josh Giddey,CHI,DET,W,28.8,5,12,0.417,1,2,0.5,8,11,0.727,1,4,5,11,0,1,6,5,19,13.7,2025-10-22
Jalen Brunson,NYK,CLE,W,34.385,5,18,0.278,1,9,0.111,12,13,0.923,0,4,4,5,0,0,2,3,23,13.5,2025-10-22
Karl-Anthony Towns,NYK,CLE,W,30.991666666666667,5,12,0.417,1,4,0.25,8,9,0.889,1,10,11,2,0,0,3,4,19,12.700000000000001,2025-10-22
LaMelo Ball,CHA,BKN,W,33.56666666666667,7,15,0.467,4,8,0.5,2,5,0.4,1,1,2,8,0,0,3,3,20,13.500000000000004,2025-10-22
Matas Buzelis,CHI,DET,W,33.766666666666666,7,12,0.583,0,3,0.0,7,7,1.0,2,4,6,1,0,3,3,3,21,16.599999999999998,2025-10-22
Jrue Holiday,POR,MIN,L,33.06666666666667,5,15,0.333,1,7,0.143,3,4,0.75,0,6,6,7,3,0,4,3,14,9.599999999999998,2025-10-22
Zach LaVine,SAC,PHX,L,34.55,13,24,0.542,2,10,0.2,2,3,0.667,0,2,2,1,0,0,2,3,30,16.10000000000001,2025-10-22
