player,tm,opp,res,mp,fg,fga,fg_pct,3p,3pa,3p_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,game_date,game_id,matchup_id,is_home,won
Adem Bona,PHI,BOS,W,14.746666666666666,0,0,0.0,0,0,0.0,0,0,0.0,1,2,3,1,0,0,2,3,0,-1.2000000000000004,2025-10-22,20251022_Adem_Bona_PHI_BOS,20251022_BOS_PHI,,1
Alex Sarr,WAS,MIL,L,25.53333333333333,5,10,0.5,0,0,0.0,0,2,0.0,1,10,11,3,0,0,1,1,10,8.6,2025-10-22,20251022_Alex_Sarr_WAS_MIL,20251022_MIL_WAS,,0
Amir Coffey,MIL,WAS,W,12.508333333333333,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0,0,0,2,3.1,2025-10-22,20251022_Amir_Coffey_MIL_WAS,20251022_MIL_WAS,,1
Andre Drummond,PHI,BOS,W,2.72,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,2,0,-0.5,2025-10-22,20251022_Andre_Drummond_PHI_BOS,20251022_BOS_PHI,,1
Andre Jackson Jr.,MIL,WAS,W,1.7,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2025-10-22,20251022_Andre_Jackson_Jr._MIL_WAS,20251022_MIL_WAS,,1
Andrew Wiggins,MIA,ORL,L,31.85,6,12,0.5,1,5,0.2,5,7,0.714,0,4,4,1,1,1,1,4,18,12.199999999999998,2025-10-22,20251022_Andrew_Wiggins_MIA_ORL,20251022_MIA_ORL,,0
Anfernee Simons,BOS,PHI,L,32.288333333333334,5,10,0.5,2,6,0.333,1,1,1.0,1,3,4,1,1,1,0,2,13,11.199999999999998,2025-10-22,20251022_Anfernee_Simons_BOS_PHI,20251022_BOS_PHI,,0
Anthony Black,ORL,MIA,W,23.316666666666663,3,9,0.333,1,2,0.5,0,0,0.0,0,3,3,3,0,1,0,2,7,4.799999999999999,2025-10-22,20251022_Anthony_Black_ORL_MIA,20251022_MIA_ORL,,1
Anthony Davis,DAL,SAS,L,32.483333333333334,7,22,0.318,2,4,0.5,6,6,1.0,4,9,13,1,2,1,0,4,22,16.7,2025-10-22,20251022_Anthony_Davis_DAL_SAS,20251022_DAL_SAS,,0
Anthony Edwards,MIN,POR,W,39.25,14,28,0.5,5,10,0.5,8,8,1.0,1,6,7,1,0,1,4,4,41,25.3,2025-10-22,20251022_Anthony_Edwards_MIN_POR,20251022_MIN_POR,,1
Anthony Gill,WAS,MIL,L,1.7,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,1.2999999999999998,2025-10-22,20251022_Anthony_Gill_WAS_MIL,20251022_MIL_WAS,,0
Ariel Hukporti,NYK,CLE,W,17.75,1,2,0.5,0,0,0.0,0,0,0.0,1,4,5,2,0,1,1,3,2,2.8,2025-10-22,20251022_Ariel_Hukporti_NYK_CLE,20251022_CLE_NYK,,1
Ausar Thompson,DET,CHI,L,33.03333333333333,5,8,0.625,0,0,0.0,1,3,0.333,0,9,9,7,1,1,1,3,11,13.7,2025-10-22,20251022_Ausar_Thompson_DET_CHI,20251022_CHI_DET,,0
Ayo Dosunmu,CHI,DET,W,26.5,6,14,0.429,2,5,0.4,0,0,0.0,2,3,5,2,0,0,0,1,14,9.9,2025-10-22,20251022_Ayo_Dosunmu_CHI_DET,20251022_CHI_DET,,1
Bam Adebayo,MIA,ORL,L,34.2,4,13,0.308,1,5,0.2,6,7,0.857,3,9,12,2,0,0,4,3,15,8.100000000000001,2025-10-22,20251022_Bam_Adebayo_MIA_ORL,20251022_MIA_ORL,,0
Ben Saraf,BKN,CHA,L,20.016666666666666,2,7,0.286,0,3,0.0,4,6,0.667,1,6,7,4,0,0,0,2,8,7.600000000000002,2025-10-22,20251022_Ben_Saraf_BKN_CHA,20251022_BKN_CHA,,0
Bismack Biyombo,SAS,DAL,W,4.933333333333334,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,2,0,2,2,0,-0.5000000000000002,2025-10-22,20251022_Bismack_Biyombo_SAS_DAL,20251022_DAL_SAS,,1
